epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,11748.9,1.14371,0.60766,1.05184,0.88996,0.81309,0.88285,0.58833,1.15427,0.53643,1.05469,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,12015.9,1.1381,0.60073,1.04994,0.90063,0.80173,0.8798,0.58725,1.15168,0.5361,1.05509,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,12282.7,1.1395,0.60137,1.04571,0.90304,0.80125,0.8806,0.58772,1.15099,0.53456,1.05163,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,12549.7,1.12789,0.5936,1.0471,0.88958,0.81707,0.88391,0.59045,1.15132,0.52959,1.05406,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,12817,1.12018,0.58478,1.04052,0.89312,0.81377,0.88363,0.59012,1.15092,0.52742,1.05262,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,13084.8,1.12515,0.5868,1.04137,0.89485,0.8094,0.88127,0.59023,1.15262,0.52901,1.05021,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,13352.4,1.12429,0.58064,1.04018,0.89519,0.8095,0.88194,0.59022,1.1505,0.52675,1.05337,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,13619,1.11626,0.57452,1.03794,0.89827,0.8093,0.88265,0.59138,1.14943,0.523,1.05074,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,13885.7,1.11317,0.56625,1.03827,0.89349,0.81484,0.88235,0.59082,1.14928,0.52316,1.05204,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,14141,1.10078,0.53019,1.03251,0.89446,0.81115,0.88172,0.59113,1.1501,0.52537,1.05253,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,14396.4,1.09051,0.52243,1.02781,0.90353,0.80056,0.88067,0.58979,1.14986,0.5268,1.05423,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,14652.2,1.08763,0.51599,1.02493,0.89792,0.80785,0.88023,0.59049,1.148,0.52631,1.05292,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,14908,1.08866,0.51112,1.02362,0.90073,0.80785,0.88049,0.59042,1.1484,0.52677,1.05172,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,15163.1,1.08089,0.50415,1.02235,0.89748,0.80834,0.88037,0.58959,1.14831,0.52872,1.05366,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,15419,1.07552,0.4982,1.01769,0.89402,0.81095,0.88032,0.59049,1.14835,0.52699,1.05157,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,15674.2,1.07006,0.4932,1.01753,0.89616,0.80853,0.88202,0.59109,1.14846,0.52505,1.0522,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,15929.5,1.06682,0.48753,1.01391,0.89892,0.80735,0.88174,0.59036,1.14793,0.52544,1.05251,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,16186,1.0638,0.48092,1.01172,0.90081,0.80765,0.88111,0.59033,1.14817,0.52587,1.05264,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
